Sex,TargetMulti,Breed_Frequency,Issterilization,Size_LARGE,Size_MED,Size_PUPPY,Size_SMALL,Size_TOY,Size_X-LRG,Intake_Condition_HEALTHY,Intake_Condition_TREATABLE/MANAGEABLE,Intake_Condition_TREATABLE/REHAB,Intake_Condition_UNKNOWN,Intake_Condition_UNTREATABLE,Grouped_Color_Brindle/Patterned/Tricolor,Grouped_Color_Brown,Grouped_Color_Monochrome,Grouped_Color_Other,Age_log,daysShel_log
1,0,411,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.0,2.302585092994046
0,2,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2.1972245773362196,0.6931471805599453
1,2,1694,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6931471805599453,2.1972245773362196
0,2,19,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1.3862943611198906,1.0986122886681098
1,3,1080,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2.3978952727983707,4.248495242049359
0,2,143,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6931471805599453,0.6931471805599453
0,3,25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.6931471805599453,3.6888794541139363
0,2,58,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.5649493574615367,0.6931471805599453
0,2,58,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.5649493574615367,1.3862943611198906
0,2,58,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.6931471805599453,1.791759469228055
1,2,1694,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0986122886681098,0.6931471805599453
0,2,26,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1.3862943611198906,1.0986122886681098
1,3,143,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.6931471805599453,4.248495242049359
1,0,411,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.0,3.6888794541139363
1,0,819,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,3.4339872044851463
0,2,24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.4849066497880004,0.0
0,2,143,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0794415416798357,0.6931471805599453
1,2,46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1.6094379124341003,3.1780538303479458
0,2,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,1.0986122886681098
0,2,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,2.3978952727983707
0,2,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,2.5649493574615367
0,2,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,1.6094379124341003
1,2,50,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.70805020110221,1.0986122886681098
1,3,73,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.6931471805599453,0.0
0,0,379,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,3.6375861597263857
0,2,514,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2.302585092994046,0.0
